3 2000            5.4246e-03       
4 2000            9.3145e-03       
5 2000            1.3187e-02       
3 2050            5.5292e-03       
4 2050            9.6187e-03       
5 2050            1.3958e-02       
3 2100            5.4716e-03       
4 2100            9.6543e-03       
5 2100            1.4246e-02       
3 2150            5.3153e-03       
4 2150            9.4981e-03       
5 2150            1.4213e-02       
3 2200            5.0913e-03       
4 2200            9.1706e-03       
5 2200            1.3855e-02       
3 2250            4.7990e-03       
4 2250            8.7140e-03       
5 2250            1.3316e-02       
3 2300            4.4884e-03       
4 2300            8.2005e-03       
5 2300            1.2664e-02       
3 2350            4.1871e-03       
4 2350            7.6610e-03       
5 2350            1.1877e-02       
3 2400            3.8622e-03       
4 2400            7.1222e-03       
5 2400            1.1031e-02       
3 2450            3.5549e-03       
4 2450            6.5808e-03       
5 2450            1.0295e-02       
3 2500            3.2591e-03       
4 2500            6.0400e-03       
5 2500            9.4756e-03       
3 2550            2.9754e-03       
4 2550            5.5482e-03       
5 2550            8.6888e-03       
3 2600            2.7245e-03       
4 2600            5.0650e-03       
5 2600            7.9990e-03       
3 2650            2.4828e-03       
4 2650            4.6238e-03       
5 2650            7.2796e-03       
3 2700            2.2605e-03       
4 2700            4.2178e-03       
5 2700            6.6533e-03       
3 2750            2.0540e-03       
4 2750            3.8283e-03       
5 2750            6.0293e-03       
3 2800            1.8733e-03       
4 2800            3.4798e-03       
5 2800            5.4838e-03       
3 2850            1.7050e-03       
4 2850            3.1547e-03       
5 2850            4.9766e-03       
3 2900            1.5558e-03       
4 2900            2.8687e-03       
5 2900            4.5307e-03       
3 2950            1.4175e-03       
4 2950            2.6046e-03       
5 2950            4.0908e-03       
3 3000            1.2919e-03       
4 3000            2.3691e-03       
5 3000            3.7157e-03       
3 3050            1.1782e-03       
4 3050            2.1518e-03       
5 3050            3.3767e-03       
3 3100            1.0817e-03       
4 3100            1.9570e-03       
5 3100            3.0578e-03       
3 3150            9.8989e-04       
4 3150            1.7862e-03       
5 3150            2.7748e-03       
3 3200            9.0967e-04       
4 3200            1.6221e-03       
5 3200            2.5172e-03       
3 3250            8.3547e-04       
4 3250            1.4828e-03       
5 3250            2.2802e-03       
3 3300            7.6793e-04       
4 3300            1.3551e-03       
5 3300            2.0719e-03       
3 3350            7.0850e-04       
4 3350            1.2387e-03       
5 3350            1.8901e-03       
3 3400            6.5587e-04       
4 3400            1.1310e-03       
5 3400            1.7190e-03       
3 3450            6.0762e-04       
4 3450            1.0395e-03       
5 3450            1.5673e-03       
3 3500            5.6392e-04       
4 3500            9.5510e-04       
5 3500            1.4299e-03

