x	Curve1
6.56306	0.817106
6.69664	8.56286E-07
6.76445	7.75782E-07
6.83294	0.000000693
7.04262	6.36769E-07
7.11393	5.76903E-07
7.18596	5.22665E-07
7.25872	4.80253E-07
7.40647	4.35102E-07
7.48146	3.94196E-07
7.55722	3.67354E-07
7.63374	3.42339E-07
7.71104	0.000000319
7.78912	2.97304E-07
7.94765	2.61861E-07
8.10942	2.27413E-07
8.27448	0.000000192
8.4429	1.69113E-07
8.61474	0.000000149
8.79009	1.31195E-07
8.969	1.1234E-07
9.15155	9.75619E-08
9.33782	8.47275E-08
9.52788	7.35815E-08
9.62436	7.15348E-08
9.82025	6.48095E-08
9.91969	6.21244E-08
10.0201	5.62837E-08
10.1216	5.47182E-08
10.3276	4.88795E-08
10.4322	4.75199E-08
10.5378	4.30524E-08
10.6445	4.12686E-08
10.8612	3.73888E-08
10.9711	3.63488E-08
11.1945	3.15671E-08
11.4223	2.81987E-08
11.538	2.74144E-08
11.7728	2.41462E-08
12.1341	2.15697E-08
12.381	1.87322E-08
12.5064	1.82111E-08
12.761	1.6499E-08
12.8902	0.000000016
13.1525	1.43285E-08
13.2857	1.393E-08
13.5561	1.22693E-08
13.9721	0.000000011
14.1136	1.06553E-08
14.5467	9.65353E-09
15.2982	7.59541E-09
15.6096	7.07821E-09
15.9273	6.68992E-09
16.2515	6.23438E-09
16.416	5.80986E-09
16.7502	5.41424E-09
17.0911	5.11723E-09
17.2642	4.90522E-09
17.7939	4.50718E-09
17.9741	4.32044E-09
18.5257	0.000000004
18.7132	3.80538E-09
19.2875	3.49659E-09
19.68	3.35172E-09
20.0806	3.07974E-09
20.4893	0.000000003
21.1181	2.71259E-09
21.3319	2.60021E-09
22.2091	2.38921E-09
22.6611	2.29022E-09
23.3565	2.13427E-09
23.8319	0.000000002
24.8119	1.87983E-09
26.0938	1.67925E-09
27.7198	1.50007E-09
28.284	1.41778E-09
29.4471	1.32124E-09
30.0465	1.26649E-09
31.282	1.19702E-09
32.5684	1.14743E-09
33.5678	1.09989E-09
36.3853	0.000000001
39.4393	9.28626E-10
42.3211	8.77685E-10
43.1825	8.65392E-10
46.3379	8.29538E-10
47.281	8.1792E-10
50.7358	7.84032E-10
51.7685	7.84032E-10
55.5512	7.62224E-10
57.2558	7.62224E-10
61.4395	7.51549E-10
63.3248	7.51549E-10
67.9519	7.51549E-10
70.0371	7.51549E-10
75.1546	7.62224E-10
76.6843	7.62224E-10
83.1208	7.84032E-10
84.8127	7.84032E-10
92.8623	8.06464E-10
93.8026	8.06464E-10
102.705	8.29538E-10
112.453	8.65392E-10
123.126	9.02796E-10
124.373	9.02796E-10
130.799	9.28626E-10
136.177	9.41817E-10
149.102	0.000000001
150.612	0.000000001
163.254	0.000000001
164.907	0.000000001
180.558	1.09989E-09
186.099	1.11551E-09
197.695	1.16372E-09
203.761	1.18025E-09
216.458	1.23127E-09
237.002	1.30273E-09
262.124	1.37834E-09
270.168	1.39792E-09
287.002	1.45834E-09
295.809	1.47906E-09
311.092	1.5649E-09
337.204	1.65573E-09
340.618	1.65573E-09
372.946	1.77671E-09
408.343	1.90654E-09
447.099	0.000000002
489.534	2.16459E-09
530.623	2.32275E-09
563.687	2.42315E-09
580.984	2.49248E-09
617.187	2.60021E-09
636.126	2.6746E-09
675.765	2.75112E-09
696.501	2.82983E-09
754.962	0.000000003
770.329	3.07974E-09
826.616	3.25849E-09
843.441	3.25849E-09
905.071	3.49659E-09
990.972	3.75208E-09
1085.03	0.000000004
1176.1	4.25993E-09
1287.72	4.5712E-09
1409.94	4.90522E-09
1482.78	5.11723E-09
1543.76	5.26364E-09
1607.24	5.41424E-09
1673.33	5.64825E-09
1832.15	0.000000006
2006.04	6.41275E-09
2046.87	6.50384E-09
2196.44	6.88133E-09
2218.68	0.000000007
2380.8	7.38414E-09
2429.25	7.48903E-09
2606.76	7.9237E-09
2854.17	8.3836E-09
3125.06	0.000000009
3387.36	9.65353E-09
3708.86	1.03589E-08
4060.87	1.11158E-08
4446.29	1.19281E-08
4819.49	1.26204E-08
5276.91	1.35425E-08
5777.75	1.45321E-08
6326.12	1.55939E-08
6857.1	1.67334E-08
7432.65	0.000000018
7507.91	0.000000018
8138.09	1.87322E-08
8220.49	0.000000019
9000.71	2.03864E-08
9370.83	0.000000021
9854.97	2.18761E-08
10157.4	2.2502E-08
10682.1	2.34745E-08
11121.4	2.41462E-08
11696	2.51898E-08
12177	2.59105E-08
12677.7	2.66519E-08
12806.1	2.66519E-08
13881	2.85993E-08
14021.5	2.85993E-08
14451.8	2.94175E-08
15198.4	3.0689E-08
15823.4	3.15671E-08
16640.9	3.29315E-08
18220.3	3.53378E-08
19949.6	3.79199E-08
21624.1	4.01208E-08
23676.4	4.30524E-08
24158.3	4.36639E-08
25923.6	4.61982E-08
26451.2	4.68544E-08
28384	4.95739E-08
30766.4	5.31962E-08
33686.5	5.62837E-08
34372.1	5.70832E-08
36883.7	6.03964E-08
37257.1	6.21244E-08
40384.3	6.48095E-08
43774	6.85711E-08
44217.2	6.95451E-08
47448.2	7.35815E-08
47928.6	7.46267E-08
51951.5	0.000000079
52477.6	8.00797E-08
56882.3	8.47275E-08
57458.2	8.47275E-08
62911.6	9.09185E-08
63548.7	9.221E-08
68192.1	9.75619E-08
69580.1	9.89477E-08
74664.3	1.04691E-07
81750.8	1.1234E-07
83414.7	1.13936E-07
91331.6	1.22261E-07
98997.6	1.31195E-07

