3 2000            2.8231e-02      
4 2000            5.0548e-02      
5 2000            7.6649e-02      
3 2050            2.5217e-02      
4 2050            4.4945e-02      
5 2050            6.7988e-02      
3 2100            2.2467e-02      
4 2100            3.9873e-02      
5 2100            6.0841e-02      
3 2150            2.0051e-02      
4 2150            3.5524e-02      
5 2150            5.4309e-02      
3 2200            1.7966e-02      
4 2200            3.1596e-02      
5 2200            4.8313e-02      
3 2250            1.6075e-02      
4 2250            2.8221e-02      
5 2250            4.3132e-02      
3 2300            1.4412e-02      
4 2300            2.5173e-02      
5 2300            3.8275e-02      
3 2350            1.2963e-02      
4 2350            2.2449e-02      
5 2350            3.4215e-02      
3 2400            1.1657e-02      
4 2400            2.0060e-02      
5 2400            3.0392e-02      
3 2450            1.0534e-02      
4 2450            1.8027e-02      
5 2450            2.7187e-02      
3 2500            9.5136e-03      
4 2500            1.6148e-02      
5 2500            2.4366e-02      
3 2550            8.6289e-03      
4 2550            1.4503e-02      
5 2550            2.1707e-02      
3 2600            7.8569e-03      
4 2600            1.3046e-02      
5 2600            1.9492e-02      
3 2650            7.1751e-03      
4 2650            1.1802e-02      
5 2650            1.7491e-02      
3 2700            6.5541e-03      
4 2700            1.0663e-02      
5 2700            1.5656e-02      
3 2750            6.0137e-03      
4 2750            9.6311e-03      
5 2750            1.4152e-02      
3 2800            5.5227e-03      
4 2800            8.7877e-03      
5 2800            1.2718e-02      
3 2850            5.0951e-03      
4 2850            7.9980e-03      
5 2850            1.1487e-02      
3 2900            4.7234e-03      
4 2900            7.2934e-03      
5 2900            1.0413e-02      
3 2950            4.3887e-03      
4 2950            6.6814e-03      
5 2950            9.4562e-03      
3 3000            4.0764e-03      
4 3000            6.1342e-03      
5 3000            8.5862e-03      
3 3050            3.8135e-03      
4 3050            5.6528e-03      
5 3050            7.8438e-03      
3 3100            3.5713e-03      
4 3100            5.2257e-03      
5 3100            7.1627e-03      
3 3150            3.3509e-03      
4 3150            4.8369e-03      
5 3150            6.5685e-03      
3 3200            3.1591e-03      
4 3200            4.4915e-03      
5 3200            6.0250e-03      
3 3250            2.9798e-03      
4 3250            4.1896e-03      
5 3250            5.5451e-03      
3 3300            2.8212e-03      
4 3300            3.9072e-03      
5 3300            5.1413e-03      
3 3350            2.6799e-03      
4 3350            3.6657e-03      
5 3350            4.7604e-03      
3 3400            2.5512e-03      
4 3400            3.4451e-03      
5 3400            4.4184e-03      
3 3450            2.4335e-03      
4 3450            3.2477e-03      
5 3450            4.1195e-03      
3 3500            2.3267e-03      
4 3500            3.0740e-03      
5 3500            3.8452e-03

